R,tau,capacity,hidden_neurons
1,0,0.9919111311184856,1
1,0,0.9900882965161196,1
1,0,0.9844925600270137,1
1,0,0.9868780903107155,1
1,0,0.9914450917523012,1
1,0,0.9919307557136314,1
1,0,0.9925223142502753,1
1,0,0.9911604499536804,1
1,0,0.9900877746433024,1
1,0,0.9886968139868054,1
1,0,0.9915542237286891,1
1,0,0.9884232790157452,1
1,0,0.9884132291467669,1
1,0,0.9896934365188164,1
1,0,0.9977584222630956,1
1,0,0.9923769810559916,1
1,0,0.9903303145597174,1
1,0,0.9912838764440666,1
1,0,0.986815058133638,1
1,0,0.9857694317247847,1
1,0,0.9952833662144124,1
1,0,0.9770920912210833,1
1,0,0.9914925127685009,1
1,0,0.9897600998403148,1
1,0,0.9943568057123633,1
1,1,0.4235498121656471,1
1,1,0.5734622956376111,1
1,1,0.5698393302806163,1
1,1,0.5551667290946454,1
1,1,0.4072456762052227,1
1,1,0.6266585366612238,1
1,1,0.2912331942745276,1
1,1,0.7243493773897909,1
1,1,0.7941505494947843,1
1,1,0.687555114645612,1
1,1,0.5850264979581576,1
1,1,0.6730852486524814,1
1,1,0.471102150236611,1
1,1,0.8761776199853368,1
1,1,0.6317623229806968,1
1,1,0.7801269149412815,1
1,1,0.6908735439927056,1
1,1,0.8512760212446292,1
1,1,0.6464199288715103,1
1,1,0.6190022305093174,1
1,1,0.5543170043295632,1
1,1,0.655093729063563,1
1,1,0.8022647336226796,1
1,1,0.7258864344740922,1
1,1,0.5925721315740986,1
1,2,0.3686995071178264,1
1,2,0.33284576220550105,1
1,2,0.6236480206886972,1
1,2,0.13567285973912746,1
1,2,0.2869324381364406,1
1,2,0.10630617598550343,1
1,2,0.34189817484410057,1
1,2,0.01872911278027089,1
1,2,0.5772285463642741,1
1,2,0.3141984916120807,1
1,2,0.3328296924184252,1
1,2,0.2644713222351123,1
1,2,0.359154171372198,1
1,2,0.3698147982486091,1
1,2,0.35430139370336916,1
1,2,0.3044236833441908,1
1,2,0.32893832004647483,1
1,2,0.23916850630841294,1
1,2,0.3752878978068473,1
1,2,0.11912465528958555,1
1,2,0.4545824513826553,1
1,2,0.05964328051927008,1
1,2,0.24079171189006582,1
1,2,0.04718844451117146,1
1,2,0.4945464299276571,1
1,3,0.006392938616510504,1
1,3,0.005849948130910376,1
1,3,0.5087336776922231,1
1,3,0.2095719913974726,1
1,3,0.047506528652092164,1
1,3,0.07052500784973516,1
1,3,0.02726000254341279,1
1,3,0.09453026458846993,1
1,3,0.3360952165497266,1
1,3,0.057499557554093424,1
1,3,0.18057253985984387,1
1,3,0.06989727356519775,1
1,3,0.27275724415938457,1
1,3,0.072509034419739,1
1,3,0.15429982651020624,1
1,3,0.37894005240750567,1
1,3,0.09343518195856312,1
1,3,0.1043663857125101,1
1,3,0.06168385617742373,1
1,3,0.016299584862079004,1
1,3,0.003693710019201912,1
1,3,0.1513380460690285,1
1,3,0.005951289235276425,1
1,3,0.07230506989754867,1
1,3,0.2454650287686282,1
1,0,0.9981328905071286,3
1,0,0.9989469660811394,3
1,0,0.9990333787842457,3
1,0,0.9992233270609163,3
1,0,0.9989056312610253,3
1,0,0.9988592500308623,3
1,0,0.9992808292093531,3
1,0,0.9986010945319401,3
1,0,0.9995329275045131,3
1,0,0.9991029945159562,3
1,0,0.9979999249655492,3
1,0,0.9948534727311142,3
1,0,0.9989729187288986,3
1,0,0.9978587646050477,3
