R,tau,capacity
1,0,0.5188096090703832
1,0,0.5931087241018764
1,0,0.6120420031272156
1,0,0.6718735985536927
1,0,0.6354528772520419
1,0,0.6999472256961107
1,0,0.6057572277508592
1,0,0.5711668406403144
1,0,0.6669196888416338
1,0,0.49359967986538184
1,0,0.6917091715005428
1,0,0.6138613004007496
1,0,0.6971868597319237
1,0,0.466902796086185
1,0,0.5922566394240555
1,0,0.5939551518434436
1,0,0.7214574297710652
1,0,0.5401767320319115
1,0,0.5795813693692387
1,0,0.5822907553401876
1,0,0.4691534569015023
1,0,0.6763255789987987
1,0,0.5597159419722635
1,0,0.7390267959817275
1,0,0.5327707065523134
1,0,0.5570496615692506
1,0,0.6282580945147448
1,0,0.5460064751532131
1,0,0.636341124184205
1,0,0.47457838349481096
1,1,0.1951866065737148
1,1,0.18456519524312712
1,1,0.0005313617883705175
1,1,0.12863804511954022
1,1,0.024085779790426497
1,1,0.3201458345710921
1,1,0.24690568841535412
1,1,0.2834751291302002
1,1,0.005571256726785121
1,1,0.0020276965256327455
1,1,0.0955772613685742
1,1,0.15607642987995657
1,1,0.021878933385996766
1,1,0.0007274231226644986
1,1,0.031402104998085274
1,1,0.08885332461592312
1,1,0.14054582575527352
1,1,0.23752021478272145
1,1,0.24624235266902245
1,1,0.027578347950969515
1,1,0.13174830770233723
1,1,0.20112314964018724
1,1,0.07895658555113143
1,1,0.4292339818393845
1,1,0.0836583813213448
1,1,0.14033756104035533
1,1,0.03655730460351276
1,1,0.27073064201070585
1,1,0.11036716182424447
1,1,0.11765061754273434
1,2,0.005162271353429111
1,2,0.0018632993392206007
1,2,0.05097988203216304
1,2,0.0022689553714174194
1,2,0.028146999611900397
1,2,0.03704852172321857
1,2,0.003083777739572348
1,2,0.0072221289041754285
1,2,0.03799051517749883
1,2,0.07864417241423537
1,2,0.0010928416889052777
1,2,0.007555358999818965
1,2,0.04677097040834805
1,2,0.03556590474218541
1,2,0.18226590267800463
1,2,0.04633260475099996
1,2,0.03315745294491589
1,2,0.06097710382069282
1,2,0.012973178858786854
1,2,0.07863063179129345
1,2,0.027852620591598612
1,2,0.1561794284808516
1,2,0.024597921165133645
1,2,0.18496407546559446
1,2,0.030223884565491292
1,2,0.0023710941876435927
1,2,0.01761858523578288
1,2,0.026748382203229778
1,2,0.05866576153981868
1,2,0.0021921078290216855
1,3,0.00827177406057545
1,3,0.058642303446949415
1,3,0.008222927956493516
1,3,0.08941599935526683
1,3,0.025726127303067392
1,3,0.06633447966405086
1,3,0.07334105899609097
1,3,0.06239523286153655
1,3,0.06454363240036572
1,3,0.07098775381523627
1,3,0.15536024977106827
1,3,0.057699683675572586
1,3,0.21436241296217426
1,3,0.0858931972197138
1,3,0.03238057221284901
1,3,0.01862505858851955
1,3,3.5448606115468305e-05
1,3,0.0006091966356188399
1,3,0.01545288932593982
1,3,0.024737079725420164
1,3,0.13524524004280836
1,3,0.07219381860427321
1,3,0.03175736954538219
1,3,0.003719128158913979
1,3,0.00020857241297457586
1,3,0.02617990979063335
1,3,0.13437998040710503
1,3,0.0366824528273393
1,3,0.0015269127326275889
1,3,0.016276104318830933
3,0,0.9695179688176049
3,0,0.9579793001469684
3,0,0.9461990649978925
3,0,0.9525636181307768
3,0,0.9575587149069614
3,0,0.9352943103467133
3,0,0.9434675449375295
3,0,0.9583129520453987
3,0,0.9514391989257549
3,0,0.9656105850908745
3,0,0.9562675579881429
3,0,0.9703288994238092
3,0,0.9632307347945563
3,0,0.9407445069670356
3,0,0.9439700553660252
3,0,0.9615874963005179
3,0,0.952385796435344
3,0,0.9323677969113023
3,0,0.9360659253731084
3,0,0.9564487973219764
3,0,0.9517515263148759
3,0,0.935108953625263
3,0,0.9277931563879204
3,0,0.9545923299667256
3,0,0.9474239540717908
3,0,0.9206783489344893
3,0,0.9644349242090947
3,0,0.9461855004196548
3,0,0.9650555882452538
3,0,0.9533769849665233
3,1,0.4243642410104355
3,1,0.371731389555166
3,1,0.3789208949311258
3,1,0.37284091405727365
3,1,0.38735677451571654
3,1,0.3238039247444211
3,1,0.2639660083278087
3,1,0.4755135171472984
3,1,0.3193929193827411
3,1,0.3906864872396046
3,1,0.40288937635600114
3,1,0.2969964351881206
3,1,0.2666405028339258
3,1,0.38679192295382253
3,1,0.38338343515715845
3,1,0.40677832086371724
