R,tau,capacity
5,0,0.9290383872849388
5,1,0.6566346518242779
5,1,0.6383398294572727
5,1,0.7994543206532885
5,1,0.6105730320417176
5,1,0.6189083051962864
5,1,0.5790780756520338
5,1,0.5976707172256589
5,1,0.654535379241671
5,1,0.7398175566512762
5,1,0.6340716168784187
5,1,0.702412244631736
5,1,0.6015513080886495
5,1,0.6515423121633998
5,1,0.6656124878023321
5,1,0.4941979186392512
5,1,0.7053327828836992
5,1,0.7798211616078703
5,1,0.5857199062313386
5,1,0.6687773597473997
5,1,0.7082257807292365
5,1,0.47339364230954606
5,1,0.8048912549335908
5,1,0.7286588741052274
5,1,0.8113264018990463
5,1,0.6710228234657194
5,1,0.8652020343151138
5,1,0.7537298656869292
5,1,0.7007188968656113
5,1,0.7171113067948984
5,1,0.6587185529545028
5,2,0.27764856940685
5,2,0.10969286222778266
5,2,0.05889698575557804
5,2,2.497246138659658e-07
5,2,0.042520753655995606
5,2,0.07383781551569354
5,2,0.06123033689612937
5,2,0.011984991032073363
5,2,0.17739592481813746
5,2,0.03452074958574871
5,2,0.01739598181491171
5,2,0.08690277409285888
5,2,0.0006632858180331493
5,2,0.0006278366559128958
5,2,0.29343152303174136
5,2,0.08780486808636459
5,2,0.20403252675422287
5,2,0.039086338572024815
5,2,0.0014026999433817034
5,2,0.18160898710672785
5,2,0.04165527539060396
5,2,0.000447122034145797
5,2,0.04362960456415367
5,2,0.011756673405302426
5,2,0.33985947472049144
5,2,0.03325696102226887
5,2,0.14170565196626553
5,2,0.1344692451648665
5,2,0.19602941141392732
5,2,0.0709072889175723
5,3,0.011141210461525492
5,3,0.0025490263924010334
5,3,0.018965033418708428
5,3,0.002169794069445584
5,3,0.07615081085022701
5,3,0.0003981337530780619
5,3,0.07058403412233308
5,3,0.025739329046595132
5,3,0.004833897961832825
5,3,0.08033460766084188
5,3,7.423822993082795e-05
5,3,0.019003079150651653
5,3,0.0008156479740942335
5,3,0.01803093564424636
5,3,0.006977436165120489
5,3,0.07440582074088009
5,3,0.04122946799930328
5,3,0.17506495323184415
5,3,0.0015792891120560899
5,3,0.023793379199004244
5,3,0.027599847100259044
5,3,0.09832888603785346
5,3,0.001136021399886566
5,3,0.09105134587156803
5,3,0.006721969016570174
5,3,0.020218293988693462
5,3,0.012295994507262452
5,3,0.05326522878857219
5,3,0.050731016192274846
5,3,0.00029550619660902573
