dataset,label,nmse,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
Double-scroll,ESN,0.012123257513351535,[0.99254615 0.96877602 0.98739958],40.0,1.0,1.15,2.0,0.15,,,,,,
Double-scroll,ESN,0.013254482550818403,[0.99185944 0.96731105 0.98599469],40.0,1.0,1.15,2.0,0.2,,,,,,
Double-scroll,ESN,0.015929153982932386,[0.99183356 0.96608063 0.98041744],40.0,1.0,1.15,2.5,0.0,,,,,,
Double-scroll,ESN,0.016318716016228186,[0.99161012 0.96476172 0.97993436],40.0,1.0,1.15,2.5,0.05,,,,,,
Double-scroll,ESN,0.014218649398444187,[0.99149191 0.96449334 0.98466173],40.0,1.0,1.15,2.5,0.1,,,,,,
Double-scroll,ESN,0.014790635799522155,[0.99169753 0.96399294 0.98351103],40.0,1.0,1.15,2.5,0.15,,,,,,
Double-scroll,ESN,0.015006734683064125,[0.99157755 0.96404444 0.98320262],40.0,1.0,1.15,2.5,0.2,,,,,,
Double-scroll,ESN,0.021330620488855277,[0.98921809 0.95663255 0.97308007],40.0,1.0,1.15,3.0,0.0,,,,,,
Double-scroll,ESN,0.021295651259897637,[0.98888649 0.95493524 0.97378706],40.0,1.0,1.15,3.0,0.05,,,,,,
Double-scroll,ESN,0.01817879532539634,[0.98904809 0.95409195 0.98057389],40.0,1.0,1.15,3.0,0.1,,,,,,
Double-scroll,ESN,0.019094765639411152,[0.98918901 0.95311853 0.97878643],40.0,1.0,1.15,3.0,0.15,,,,,,
Double-scroll,ESN,0.018488290275092953,[0.9898718  0.95618672 0.97884412],40.0,1.0,1.15,3.0,0.2,,,,,,
Double-scroll,ESN,0.02536525601765762,[0.98709645 0.94948816 0.96785909],40.0,1.0,1.15,3.5,0.0,,,,,,
Double-scroll,ESN,0.02428769314556503,[0.98698222 0.94835056 0.97053531],40.0,1.0,1.15,3.5,0.05,,,,,,
Double-scroll,ESN,0.021304327581430266,[0.98702792 0.94614217 0.97740662],40.0,1.0,1.15,3.5,0.1,,,,,,
Double-scroll,ESN,0.022730863815812886,[0.98672119 0.9434146  0.97528852],40.0,1.0,1.15,3.5,0.15,,,,,,
Double-scroll,ESN,0.022810429811395867,[0.98726944 0.94580088 0.97408627],40.0,1.0,1.15,3.5,0.2,,,,,,
Double-scroll,ESN,0.028323726598680283,[0.98559571 0.94426401 0.96398517],40.0,1.0,1.15,4.0,0.0,,,,,,
Double-scroll,ESN,0.026285635568125038,[0.98565063 0.94365194 0.96848821],40.0,1.0,1.15,4.0,0.05,,,,,,
Double-scroll,ESN,0.023519722186523942,[0.98579815 0.94127744 0.97483356],40.0,1.0,1.15,4.0,0.1,,,,,,
Double-scroll,ESN,0.025253975930194468,[0.98510088 0.93718947 0.97269149],40.0,1.0,1.15,4.0,0.15,,,,,,
Double-scroll,ESN,0.026040888411510765,[0.98523669 0.93781329 0.97070823],40.0,1.0,1.15,4.0,0.2,,,,,,
Double-scroll,ESN,0.030753499339642026,[0.98440226 0.93921164 0.96093324],40.0,1.0,1.15,4.5,0.0,,,,,,
Double-scroll,ESN,0.0277141664985372,[0.98466962 0.93991094 0.96712285],40.0,1.0,1.15,4.5,0.05,,,,,,
Double-scroll,ESN,0.02523282709501461,[0.98505927 0.93815886 0.9725243 ],40.0,1.0,1.15,4.5,0.1,,,,,,
Double-scroll,ESN,0.026966811079945897,[0.984178   0.93348489 0.97063417],40.0,1.0,1.15,4.5,0.15,,,,,,
Double-scroll,ESN,0.028284083999036917,[0.98394868 0.93269478 0.96816205],40.0,1.0,1.15,4.5,0.2,,,,,,
Double-scroll,ESN,0.03268178390708943,[0.98334233 0.93413226 0.95883342],40.0,1.0,1.15,5.0,0.0,,,,,,
Double-scroll,ESN,0.028717323521536255,[0.98397603 0.9370428  0.96621773],40.0,1.0,1.15,5.0,0.05,,,,,,
Double-scroll,ESN,0.02668178288972406,[0.98458167 0.93597894 0.97034393],40.0,1.0,1.15,5.0,0.1,,,,,,
Double-scroll,ESN,0.028166961198152818,[0.98367178 0.9312602  0.96896258],40.0,1.0,1.15,5.0,0.15,,,,,,
Double-scroll,ESN,0.02997058178913916,[0.98310931 0.92939352 0.96601417],40.0,1.0,1.15,5.0,0.2,,,,,,
Double-scroll,ESN,0.009604571336275444,[0.98959807 0.9724532  0.99488737],40.0,1.0,1.2,0.1,0.0,,,,,,
Double-scroll,ESN,0.008981164590934733,[0.98815142 0.98177821 0.99568063],40.0,1.0,1.2,0.1,0.05,,,,,,
Double-scroll,ESN,0.012233924456709105,[0.985666   0.97094076 0.99318804],40.0,1.0,1.2,0.1,0.1,,,,,,
Double-scroll,ESN,0.013247133860780507,[0.984595   0.96905595 0.99245296],40.0,1.0,1.2,0.1,0.15,,,,,,
Double-scroll,ESN,0.012040968554608955,[0.98627039 0.97846883 0.99151253],40.0,1.0,1.2,0.1,0.2,,,,,,
Double-scroll,ESN,0.0012466249709974864,[0.99902031 0.9975564  0.99875625],40.0,1.0,1.2,0.5,0.0,,,,,,
Double-scroll,ESN,0.0015523936405100359,[0.99909823 0.99582215 0.99839418],40.0,1.0,1.2,0.5,0.05,,,,,,
Double-scroll,ESN,0.002693080968625071,[0.99779459 0.99259461 0.99779435],40.0,1.0,1.2,0.5,0.1,,,,,,
Double-scroll,ESN,0.0017725091700900033,[0.99835981 0.99536827 0.998714  ],40.0,1.0,1.2,0.5,0.15,,,,,,
Double-scroll,ESN,0.001870945898980606,[0.99874247 0.99528704 0.99815239],40.0,1.0,1.2,0.5,0.2,,,,,,
Double-scroll,ESN,0.002408563488856624,[0.99901536 0.99459549 0.9968703 ],40.0,1.0,1.2,1.0,0.0,,,,,,
Double-scroll,ESN,0.0027000391541518623,[0.99824716 0.99166716 0.99762566],40.0,1.0,1.2,1.0,0.05,,,,,,
Double-scroll,ESN,0.0037607627410441748,[0.99774859 0.98890077 0.99629824],40.0,1.0,1.2,1.0,0.1,,,,,,
Double-scroll,ESN,0.003755013589513688,[0.99777812 0.99001338 0.99607931],40.0,1.0,1.2,1.0,0.15,,,,,,
Double-scroll,ESN,0.003574771284203485,[0.99833892 0.98968403 0.99597387],40.0,1.0,1.2,1.0,0.2,,,,,,
Double-scroll,ESN,0.005737711233075986,[0.99692898 0.98672867 0.9933207 ],40.0,1.0,1.2,1.5,0.0,,,,,,
Double-scroll,ESN,0.0058975182850846755,[0.99610149 0.98484836 0.99411713],40.0,1.0,1.2,1.5,0.05,,,,,,
Double-scroll,ESN,0.0064692645731050285,[0.99575776 0.98397147 0.9933748 ],40.0,1.0,1.2,1.5,0.1,,,,,,
Double-scroll,ESN,0.007237342111311626,[0.99578901 0.98243964 0.99200232],40.0,1.0,1.2,1.5,0.15,,,,,,
Double-scroll,ESN,0.008014909470398924,[0.99528368 0.97775445 0.99184071],40.0,1.0,1.2,1.5,0.2,,,,,,
Double-scroll,ESN,0.010399817984407317,[0.9945546  0.9773759  0.98756802],40.0,1.0,1.2,2.0,0.0,,,,,,
Double-scroll,ESN,0.011026512000859768,[0.99385248 0.97451495 0.987274  ],40.0,1.0,1.2,2.0,0.05,,,,,,
Double-scroll,ESN,0.011115130351848898,[0.99300334 0.97208751 0.98837573],40.0,1.0,1.2,2.0,0.1,,,,,,
Double-scroll,ESN,0.013158265935771093,[0.99181619 0.96621045 0.98634584],40.0,1.0,1.2,2.0,0.15,,,,,,
Double-scroll,ESN,0.013876083215150522,[0.99139677 0.96572347 0.98539693],40.0,1.0,1.2,2.0,0.2,,,,,,
Double-scroll,ESN,0.0158924608277867,[0.99172824 0.96584486 0.98065951],40.0,1.0,1.2,2.5,0.0,,,,,,
Double-scroll,ESN,0.016472244580235468,[0.9914292 0.9641121 0.9799075],40.0,1.0,1.2,2.5,0.05,,,,,,
Double-scroll,ESN,0.014534716981974175,[0.99120914 0.96362545 0.98442337],40.0,1.0,1.2,2.5,0.1,,,,,,
Double-scroll,ESN,0.01516117634966747,[0.99134093 0.96285348 0.98328218],40.0,1.0,1.2,2.5,0.15,,,,,,
Double-scroll,ESN,0.015885551509796942,[0.99085783 0.9619866  0.98241596],40.0,1.0,1.2,2.5,0.2,,,,,,
Double-scroll,ESN,0.021436258292101343,[0.98905275 0.95601292 0.973132  ],40.0,1.0,1.2,3.0,0.0,,,,,,
Double-scroll,ESN,0.02168645251107622,[0.98866047 0.95404449 0.97332684],40.0,1.0,1.2,3.0,0.05,,,,,,
Double-scroll,ESN,0.018394561148584773,[0.98885942 0.95341062 0.98041564],40.0,1.0,1.2,3.0,0.1,,,,,,
Double-scroll,ESN,0.019271297558310394,[0.98909209 0.95282741 0.97855338],40.0,1.0,1.2,3.0,0.15,,,,,,
Double-scroll,ESN,0.01866571556663822,[0.98964941 0.95562108 0.97879901],40.0,1.0,1.2,3.0,0.2,,,,,,
Double-scroll,ESN,0.025784374492609383,[0.98680673 0.94842688 0.96744429],40.0,1.0,1.2,3.5,0.0,,,,,,
Double-scroll,ESN,0.02486103673742843,[0.98665525 0.94710393 0.96984219],40.0,1.0,1.2,3.5,0.05,,,,,,
Double-scroll,ESN,0.021670322536091895,[0.98671003 0.94495608 0.97713717],40.0,1.0,1.2,3.5,0.1,,,,,,
Double-scroll,ESN,0.02303319315766629,[0.98654139 0.94273744 0.9749239 ],40.0,1.0,1.2,3.5,0.15,,,,,,
Double-scroll,ESN,0.02296658460131,[0.98713422 0.94554186 0.97390785],40.0,1.0,1.2,3.5,0.2,,,,,,
Double-scroll,ESN,0.028828919206154546,[0.98522811 0.94308844 0.96348117],40.0,1.0,1.2,4.0,0.0,,,,,,
Double-scroll,ESN,0.026923634673602915,[0.98527635 0.94233177 0.96771317],40.0,1.0,1.2,4.0,0.05,,,,,,
Double-scroll,ESN,0.023999996410043162,[0.9853567  0.93972745 0.97450008],40.0,1.0,1.2,4.0,0.1,,,,,,
Double-scroll,ESN,0.025704392781450845,[0.98477499 0.93602854 0.9722463 ],40.0,1.0,1.2,4.0,0.15,,,,,,
Double-scroll,ESN,0.026359697881013756,[0.98501114 0.93717374 0.97032837],40.0,1.0,1.2,4.0,0.2,,,,,,
Double-scroll,ESN,0.03126997193167555,[0.98406194 0.93837083 0.96030009],40.0,1.0,1.2,4.5,0.0,,,,,,
Double-scroll,ESN,0.028429324792834863,[0.98425211 0.93854463 0.96622875],40.0,1.0,1.2,4.5,0.05,,,,,,
Double-scroll,ESN,0.025762024930893964,[0.98456044 0.93649081 0.97215717],40.0,1.0,1.2,4.5,0.1,,,,,,
Double-scroll,ESN,0.027528790915127114,[0.98375752 0.93205263 0.97009946],40.0,1.0,1.2,4.5,0.15,,,,,,
Double-scroll,ESN,0.028697313321900304,[0.98364496 0.93175191 0.96771232],40.0,1.0,1.2,4.5,0.2,,,,,,
Double-scroll,ESN,0.033250855530180326,[0.98304558 0.93346426 0.95800427],40.0,1.0,1.2,5.0,0.0,,,,,,
Double-scroll,ESN,0.029469936695642095,[0.98352779 0.93559109 0.96528483],40.0,1.0,1.2,5.0,0.05,,,,,,
Double-scroll,ESN,0.02719314156305785,[0.98408272 0.93435648 0.97000104],40.0,1.0,1.2,5.0,0.1,,,,,,
Double-scroll,ESN,0.02877156147466374,[0.98320459 0.92968083 0.96840981],40.0,1.0,1.2,5.0,0.15,,,,,,
Double-scroll,ESN,0.03040907887179605,[0.98278315 0.92830221 0.96555815],40.0,1.0,1.2,5.0,0.2,,,,,,
Double-scroll,ESN,0.0003334385216865746,[0.99951794 0.99888888 0.99996764],60.0,0.7,0.8,0.1,0.0,,,,,,
Double-scroll,ESN,0.00028280986006269063,[0.99959648 0.99903191 0.99997578],60.0,0.7,0.8,0.1,0.05,,,,,,
Double-scroll,ESN,0.0003206018573875807,[0.99953027 0.99896383 0.99996747],60.0,0.7,0.8,0.1,0.1,,,,,,
Double-scroll,ESN,0.0004146946005133993,[0.99939934 0.99875805 0.99995768],60.0,0.7,0.8,0.1,0.15,,,,,,
Double-scroll,ESN,0.0003763803122479871,[0.99944186 0.99879186 0.99996331],60.0,0.7,0.8,0.1,0.2,,,,,,
Double-scroll,ESN,2.3292534833812248e-05,[0.99997706 0.99991144 0.99998965],60.0,0.7,0.8,0.5,0.0,,,,,,
Double-scroll,ESN,2.4091088169434065e-05,[0.99997862 0.99991707 0.99998554],60.0,0.7,0.8,0.5,0.05,,,,,,
Double-scroll,ESN,3.1724517048769586e-05,[0.99996746 0.9998784  0.99998808],60.0,0.7,0.8,0.5,0.1,,,,,,
Double-scroll,ESN,2.9180973514890763e-05,[0.99997142 0.99986408 0.99999197],60.0,0.7,0.8,0.5,0.15,,,,,,
Double-scroll,ESN,2.7020102503239968e-05,[0.99997397 0.99989491 0.99998836],60.0,0.7,0.8,0.5,0.2,,,,,,
Double-scroll,ESN,0.0001266003759090672,[0.99993831 0.99975527 0.9998375 ],60.0,0.7,0.8,1.0,0.0,,,,,,
Double-scroll,ESN,0.00010766237753646777,[0.99994174 0.99970713 0.99988318],60.0,0.7,0.8,1.0,0.05,,,,,,
Double-scroll,ESN,0.00020171289445194233,[0.99987363 0.99936675 0.9998175 ],60.0,0.7,0.8,1.0,0.1,,,,,,
Double-scroll,ESN,0.00011660131599822645,[0.99991317 0.99964418 0.99990468],60.0,0.7,0.8,1.0,0.15,,,,,,
Double-scroll,ESN,0.00011829109763826519,[0.99990097 0.9997215  0.99989622],60.0,0.7,0.8,1.0,0.2,,,,,,
Double-scroll,ESN,0.0003004297755736554,[0.99981123 0.99900239 0.99973344],60.0,0.7,0.8,1.5,0.0,,,,,,
Double-scroll,ESN,0.000319463238342974,[0.99979593 0.99890357 0.99972682],60.0,0.7,0.8,1.5,0.05,,,,,,
Double-scroll,ESN,0.0004490835746462913,[0.99971972 0.9987868  0.99954596],60.0,0.7,0.8,1.5,0.1,,,,,,
Double-scroll,ESN,0.00036465294808245454,[0.99975864 0.99876718 0.99969254],60.0,0.7,0.8,1.5,0.15,,,,,,
Double-scroll,ESN,0.00038754620779319536,[0.99974862 0.998907   0.99962487],60.0,0.7,0.8,1.5,0.2,,,,,,
Double-scroll,ESN,0.0005806275679474197,[0.99962098 0.99816924 0.99947977],60.0,0.7,0.8,2.0,0.0,,,,,,
Double-scroll,ESN,0.0007902543264190909,[0.99947116 0.99761132 0.99928324],60.0,0.7,0.8,2.0,0.05,,,,,,
Double-scroll,ESN,0.0009521209379162929,[0.99939939 0.99744429 0.99903742],60.0,0.7,0.8,2.0,0.1,,,,,,
Double-scroll,ESN,0.0007664564778841398,[0.99941531 0.99735133 0.9994466 ],60.0,0.7,0.8,2.0,0.15,,,,,,
Double-scroll,ESN,0.0007168868154761155,[0.99948008 0.99782115 0.99940124],60.0,0.7,0.8,2.0,0.2,,,,,,
Double-scroll,ESN,0.0011369025220997638,[0.99916716 0.99663967 0.99902877],60.0,0.7,0.8,2.5,0.0,,,,,,
Double-scroll,ESN,0.0014336779894106471,[0.99910666 0.99650252 0.99847091],60.0,0.7,0.8,2.5,0.05,,,,,,
Double-scroll,ESN,0.001506822684268215,[0.99901608 0.9959514  0.99850733],60.0,0.7,0.8,2.5,0.1,,,,,,
Double-scroll,ESN,0.0013382536814195336,[0.99896372 0.99583989 0.99897   ],60.0,0.7,0.8,2.5,0.15,,,,,,
Double-scroll,ESN,0.0012355957226010262,[0.99906479 0.99614277 0.99902596],60.0,0.7,0.8,2.5,0.2,,,,,,
Double-scroll,ESN,0.0016885224394533912,[0.99862401 0.99482657 0.99872987],60.0,0.7,0.8,3.0,0.0,,,,,,
Double-scroll,ESN,0.0017065236086546145,[0.9989574  0.99593515 0.99816479],60.0,0.7,0.8,3.0,0.05,,,,,,
Double-scroll,ESN,0.0019931612372503563,[0.99863781 0.99465791 0.99808804],60.0,0.7,0.8,3.0,0.1,,,,,,
Double-scroll,ESN,0.0019667811761107158,[0.99843172 0.99386362 0.99852834],60.0,0.7,0.8,3.0,0.15,,,,,,
Double-scroll,ESN,0.0019291282437832807,[0.99850129 0.99420424 0.99847172],60.0,0.7,0.8,3.0,0.2,,,,,,
Double-scroll,ESN,0.002201112619348592,[0.99828346 0.99339176 0.9982388 ],60.0,0.7,0.8,3.5,0.0,,,,,,
Double-scroll,ESN,0.002219909242504593,[0.99867054 0.99454311 0.99763687],60.0,0.7,0.8,3.5,0.05,,,,,,
Double-scroll,ESN,0.002569826407862604,[0.99831206 0.99331989 0.99744088],60.0,0.7,0.8,3.5,0.1,,,,,,
Double-scroll,ESN,0.0026746356257164195,[0.99796703 0.99222467 0.99777824],60.0,0.7,0.8,3.5,0.15,,,,,,
Double-scroll,ESN,0.0027381556646159447,[0.99794726 0.99226082 0.99766069],60.0,0.7,0.8,3.5,0.2,,,,,,
Double-scroll,ESN,0.0028179994200862985,[0.99809758 0.99223729 0.99731702],60.0,0.7,0.8,4.0,0.0,,,,,,
Double-scroll,ESN,0.003079674544180273,[0.99821278 0.99230484 0.99669614],60.0,0.7,0.8,4.0,0.05,,,,,,
Double-scroll,ESN,0.0033307799677723443,[0.99797737 0.99170563 0.99646827],60.0,0.7,0.8,4.0,0.1,,,,,,
Double-scroll,ESN,0.003473842160649096,[0.99759547 0.99107084 0.99664277],60.0,0.7,0.8,4.0,0.15,,,,,,
Double-scroll,ESN,0.0036418989360836804,[0.99750135 0.99045977 0.99651692],60.0,0.7,0.8,4.0,0.2,,,,,,
Double-scroll,ESN,0.0036567547864259247,[0.9978938  0.99079163 0.99599977],60.0,0.7,0.8,4.5,0.0,,,,,,
Double-scroll,ESN,0.0041973454669697935,[0.99764668 0.98973531 0.99536875],60.0,0.7,0.8,4.5,0.05,,,,,,
Double-scroll,ESN,0.0043697777354955005,[0.99750829 0.98959495 0.995129  ],60.0,0.7,0.8,4.5,0.1,,,,,,
Double-scroll,ESN,0.004425728227381527,[0.99724552 0.98986564 0.99517965],60.0,0.7,0.8,4.5,0.15,,,,,,
Double-scroll,ESN,0.0046084072954907076,[0.99713645 0.98891581 0.99511327],60.0,0.7,0.8,4.5,0.2,,,,,,
Double-scroll,ESN,0.004845567548337698,[0.99741493 0.98852106 0.99436031],60.0,0.7,0.8,5.0,0.0,,,,,,
Double-scroll,ESN,0.005492190761048413,[0.99699655 0.98708109 0.99374324],60.0,0.7,0.8,5.0,0.05,,,,,,
Double-scroll,ESN,0.005641403007283567,[0.99690113 0.98710246 0.99348997],60.0,0.7,0.8,5.0,0.1,,,,,,
Double-scroll,ESN,0.005607072682678516,[0.9967605  0.98795221 0.9935002 ],60.0,0.7,0.8,5.0,0.15,,,,,,
Double-scroll,ESN,0.005655415439985875,[0.99670127 0.98725733 0.99362464],60.0,0.7,0.8,5.0,0.2,,,,,,
Double-scroll,ESN,0.0004373246098691547,[0.99935153 0.99867227 0.99994982],60.0,0.7,0.85,0.1,0.0,,,,,,
Double-scroll,ESN,0.00031914840267681545,[0.99953791 0.99895928 0.9999682 ],60.0,0.7,0.85,0.1,0.05,,,,,,
Double-scroll,ESN,0.00038596480376614943,[0.99942486 0.99881763 0.99995661],60.0,0.7,0.85,0.1,0.1,,,,,,
Double-scroll,ESN,0.00048528798396377454,[0.99927906 0.9985988  0.99994482],60.0,0.7,0.85,0.1,0.15,,,,,,
Double-scroll,ESN,0.0004932830179846646,[0.99925428 0.99853971 0.99994176],60.0,0.7,0.85,0.1,0.2,,,,,,
Double-scroll,ESN,2.7910721830785318e-05,[0.99997301 0.99989011 0.99998771],60.0,0.7,0.85,0.5,0.0,,,,,,
Double-scroll,ESN,2.86161130847774e-05,[0.99997477 0.99990138 0.9999825 ],60.0,0.7,0.85,0.5,0.05,,,,,,
Double-scroll,ESN,3.451678189187351e-05,[0.99996353 0.99986539 0.99998862],60.0,0.7,0.85,0.5,0.1,,,,,,
Double-scroll,ESN,3.4732727924066326e-05,[0.9999651  0.9998488  0.99998904],60.0,0.7,0.85,0.5,0.15,,,,,,
Double-scroll,ESN,3.165183027201272e-05,[0.99996875 0.99988226 0.99998609],60.0,0.7,0.85,0.5,0.2,,,,,,
Double-scroll,ESN,0.00013299962478138954,[0.99993977 0.999753   0.99982477],60.0,0.7,0.85,1.0,0.0,,,,,,
Double-scroll,ESN,0.00012144829284930201,[0.99993991 0.99970301 0.99985671],60.0,0.7,0.85,1.0,0.05,,,,,,
Double-scroll,ESN,0.00023120842985229254,[0.99984948 0.99927781 0.99979661],60.0,0.7,0.85,1.0,0.1,,,,,,
Double-scroll,ESN,0.00012735560542871877,[0.999907   0.99961235 0.99989442],60.0,0.7,0.85,1.0,0.15,,,,,,
Double-scroll,ESN,0.0001269917816910921,[0.99989823 0.9996926  0.9998861 ],60.0,0.7,0.85,1.0,0.2,,,,,,
Double-scroll,ESN,0.00034435178374947603,[0.99979276 0.99891488 0.9996741 ],60.0,0.7,0.85,1.5,0.0,,,,,,
Double-scroll,ESN,0.0003436644405714248,[0.99978787 0.99884818 0.99969345],60.0,0.7,0.85,1.5,0.05,,,,,,
Double-scroll,ESN,0.0004775400361438015,[0.99969609 0.9987152  0.99952282],60.0,0.7,0.85,1.5,0.1,,,,,,
Double-scroll,ESN,0.000384016773651301,[0.999753   0.99873588 0.99966275],60.0,0.7,0.85,1.5,0.15,,,,,,
Double-scroll,ESN,0.00041452167834803513,[0.99973721 0.99883324 0.99959204],60.0,0.7,0.85,1.5,0.2,,,,,,
Double-scroll,ESN,0.0005897408625762072,[0.99961383 0.99811826 0.99947762],60.0,0.7,0.85,2.0,0.0,,,,,,
Double-scroll,ESN,0.0007893366383059571,[0.999482   0.99756679 0.99928422],60.0,0.7,0.85,2.0,0.05,,,,,,
Double-scroll,ESN,0.0010186883045402739,[0.99937423 0.99736691 0.99893529],60.0,0.7,0.85,2.0,0.1,,,,,,
Double-scroll,ESN,0.0007668500202038508,[0.99941972 0.99733281 0.99944357],60.0,0.7,0.85,2.0,0.15,,,,,,
Double-scroll,ESN,0.0007618260713326948,[0.99944206 0.99769957 0.99936668],60.0,0.7,0.85,2.0,0.2,,,,,,
Double-scroll,ESN,0.001144501609258225,[0.9992138  0.9966443  0.99896478],60.0,0.7,0.85,2.5,0.0,,,,,,
Double-scroll,ESN,0.00158514279625867,[0.99899731 0.99605576 0.99833584],60.0,0.7,0.85,2.5,0.05,,,,,,
Double-scroll,ESN,0.0016533382792570583,[0.99895876 0.99570187 0.99829844],60.0,0.7,0.85,2.5,0.1,,,,,,
Double-scroll,ESN,0.0013609508996285668,[0.99897436 0.99587093 0.99891226],60.0,0.7,0.85,2.5,0.15,,,,,,
Double-scroll,ESN,0.0012490714674058005,[0.99906459 0.99608883 0.99901206],60.0,0.7,0.85,2.5,0.2,,,,,,
Double-scroll,ESN,0.001757326627425176,[0.99858707 0.99464666 0.99865235],60.0,0.7,0.85,3.0,0.0,,,,,,
Double-scroll,ESN,0.001911154570772734,[0.99881463 0.99549349 0.99793884],60.0,0.7,0.85,3.0,0.05,,,,,,
Double-scroll,ESN,0.002134980350943409,[0.99855884 0.99433431 0.99792417],60.0,0.7,0.85,3.0,0.1,,,,,,
Double-scroll,ESN,0.0020111822618843534,[0.99841382 0.99376379 0.99848069],60.0,0.7,0.85,3.0,0.15,,,,,,
Double-scroll,ESN,0.0019246396490975085,[0.99849984 0.9940675  0.99851629],60.0,0.7,0.85,3.0,0.2,,,,,,
Double-scroll,ESN,0.002267162703025021,[0.99815534 0.99297581 0.99830207],60.0,0.7,0.85,3.5,0.0,,,,,,
Double-scroll,ESN,0.002261596371229126,[0.99860882 0.99451012 0.99760165],60.0,0.7,0.85,3.5,0.05,,,,,,
Double-scroll,ESN,0.0026848480634474284,[0.99818005 0.99288681 0.99740193],60.0,0.7,0.85,3.5,0.1,,,,,,
Double-scroll,ESN,0.0027192966440009515,[0.99787961 0.99181043 0.99785724],60.0,0.7,0.85,3.5,0.15,,,,,,
Double-scroll,ESN,0.002715014976160112,[0.99789492 0.99206311 0.99780462],60.0,0.7,0.85,3.5,0.2,,,,,,
Double-scroll,ESN,0.0028385813028344955,[0.99789738 0.99168418 0.99757219],60.0,0.7,0.85,4.0,0.0,,,,,,
Double-scroll,ESN,0.0029684316500777413,[0.99821501 0.99258123 0.99686485],60.0,0.7,0.85,4.0,0.05,,,,,,
Double-scroll,ESN,0.0033430317472314965,[0.99785961 0.99141738 0.99660116],60.0,0.7,0.85,4.0,0.1,,,,,,
Double-scroll,ESN,0.0035013240816807417,[0.99743492 0.99043077 0.99686766],60.0,0.7,0.85,4.0,0.15,,,,,,
Double-scroll,ESN,0.0036117118968222624,[0.99736675 0.99009595 0.99678392],60.0,0.7,0.85,4.0,0.2,,,,,,
Double-scroll,ESN,0.0035470545073958523,[0.99775192 0.99056975 0.99640898],60.0,0.7,0.85,4.5,0.0,,,,,,
Double-scroll,ESN,0.003983773119019474,[0.99768743 0.99010142 0.99570493],60.0,0.7,0.85,4.5,0.05,,,,,,
Double-scroll,ESN,0.004230185470958736,[0.99747359 0.98965144 0.99543739],60.0,0.7,0.85,4.5,0.1,,,,,,
Double-scroll,ESN,0.004366284216786459,[0.9970907  0.98943189 0.99553441],60.0,0.7,0.85,4.5,0.15,,,,,,
Double-scroll,ESN,0.004574223110929205,[0.99695806 0.98843174 0.99545155],60.0,0.7,0.85,4.5,0.2,,,,,,
Double-scroll,ESN,0.004540022672107043,[0.99745281 0.98888323 0.99490171],60.0,0.7,0.85,5.0,0.0,,,,,,
Double-scroll,ESN,0.005214691044312313,[0.99706428 0.98746707 0.994194  ],60.0,0.7,0.85,5.0,0.05,,,,,,
Double-scroll,ESN,0.005379764922386958,[0.99694497 0.98743716 0.99393486],60.0,0.7,0.85,5.0,0.1,,,,,,
Double-scroll,ESN,0.005405360078086998,[0.99670713 0.98807422 0.99394906],60.0,0.7,0.85,5.0,0.15,,,,,,
Double-scroll,ESN,0.005569774837533458,[0.99657375 0.98696732 0.99398553],60.0,0.7,0.85,5.0,0.2,,,,,,
Double-scroll,ESN,0.0006126292511822531,[0.99906256 0.99832599 0.99992376],60.0,0.7,0.9,0.1,0.0,,,,,,
Double-scroll,ESN,0.0003846319474829034,[0.99943254 0.9988461  0.99995256],60.0,0.7,0.9,0.1,0.05,,,,,,
Double-scroll,ESN,0.00047109954428482435,[0.99929192 0.99864604 0.99994148],60.0,0.7,0.9,0.1,0.1,,,,,,
Double-scroll,ESN,0.0005646500442571639,[0.9991398  0.99842754 0.99993045],60.0,0.7,0.9,0.1,0.15,,,,,,
Double-scroll,ESN,0.0005618652900410878,[0.99914793 0.99838279 0.99992538],60.0,0.7,0.9,0.1,0.2,,,,,,
Double-scroll,ESN,3.4271890563608986e-05,[0.99996836 0.9998617  0.99998405],60.0,0.7,0.9,0.5,0.0,,,,,,
Double-scroll,ESN,3.467118355000941e-05,[0.99996978 0.99988269 0.9999779 ],60.0,0.7,0.9,0.5,0.05,,,,,,
Double-scroll,ESN,3.768122535866572e-05,[0.99996047 0.9998515  0.99998789],60.0,0.7,0.9,0.5,0.1,,,,,,
Double-scroll,ESN,4.147917981708888e-05,[0.99995733 0.99983332 0.99998489],60.0,0.7,0.9,0.5,0.15,,,,,,
Double-scroll,ESN,3.7145251668014164e-05,[0.99996329 0.99986465 0.99998297],60.0,0.7,0.9,0.5,0.2,,,,,,
Double-scroll,ESN,0.00013503034018069583,[0.99993983 0.99974996 0.99982324],60.0,0.7,0.9,1.0,0.0,,,,,,
Double-scroll,ESN,0.0001343991832526996,[0.99993958 0.99970499 0.99982988],60.0,0.7,0.9,1.0,0.05,,,,,,
Double-scroll,ESN,0.00025188002387498105,[0.99983009 0.99921749 0.99978411],60.0,0.7,0.9,1.0,0.1,,,,,,
Double-scroll,ESN,0.0001390782401221316,[0.99990118 0.99957966 0.99988252],60.0,0.7,0.9,1.0,0.15,,,,,,
