dataset,label,nmse,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
Double-scroll,ESN,0.014267750304438316,[0.99449218 0.971101   0.98063228],40.0,0.7,0.8,4.0,0.05,,,,,,
Double-scroll,ESN,0.014413815433834997,[0.99364004 0.96742986 0.98198003],40.0,0.7,0.8,4.0,0.1,,,,,,
Double-scroll,ESN,0.014501877799042285,[0.99395212 0.96809584 0.98128014],40.0,0.7,0.8,4.0,0.15,,,,,,
Double-scroll,ESN,0.015406210539347346,[0.99415361 0.96901939 0.97896215],40.0,0.7,0.8,4.0,0.2,,,,,,
Double-scroll,ESN,0.01662257543374584,[0.99358188 0.96707966 0.97720893],40.0,0.7,0.8,4.5,0.0,,,,,,
Double-scroll,ESN,0.01555524404373827,[0.99355008 0.96677401 0.97968522],40.0,0.7,0.8,4.5,0.05,,,,,,
Double-scroll,ESN,0.015927449294225304,[0.99237889 0.96276231 0.98094992],40.0,0.7,0.8,4.5,0.1,,,,,,
Double-scroll,ESN,0.015742022288406047,[0.99301307 0.96396122 0.98040363],40.0,0.7,0.8,4.5,0.15,,,,,,
Double-scroll,ESN,0.01677491579011171,[0.99314904 0.96455779 0.97791659],40.0,0.7,0.8,4.5,0.2,,,,,,
Double-scroll,ESN,0.018138665428322036,[0.9923622  0.96243139 0.97606969],40.0,0.7,0.8,5.0,0.0,,,,,,
Double-scroll,ESN,0.016812865553364618,[0.99247822 0.96288937 0.97883474],40.0,0.7,0.8,5.0,0.05,,,,,,
Double-scroll,ESN,0.01747185327702207,[0.99098227 0.95837266 0.97990798],40.0,0.7,0.8,5.0,0.1,,,,,,
Double-scroll,ESN,0.016977845124436355,[0.9920044  0.96025522 0.97951062],40.0,0.7,0.8,5.0,0.15,,,,,,
Double-scroll,ESN,0.017921627496527426,[0.99219257 0.9607154  0.97716103],40.0,0.7,0.8,5.0,0.2,,,,,,
Double-scroll,ESN,0.00043034108956013003,[0.99937309 0.99866384 0.99994789],40.0,0.7,0.85,0.1,0.0,,,,,,
Double-scroll,ESN,0.0004364904216641176,[0.99935802 0.99863871 0.99995045],40.0,0.7,0.85,0.1,0.05,,,,,,
Double-scroll,ESN,0.0005077406941521597,[0.99925005 0.99859821 0.99994242],40.0,0.7,0.85,0.1,0.1,,,,,,
Double-scroll,ESN,0.0007043481104919955,[0.99890748 0.99810827 0.99990671],40.0,0.7,0.85,0.1,0.15,,,,,,
Double-scroll,ESN,0.0006881209602255553,[0.99896534 0.99814207 0.99989874],40.0,0.7,0.85,0.1,0.2,,,,,,
Double-scroll,ESN,0.00019331537191038782,[0.99987652 0.99933854 0.99983558],40.0,0.7,0.85,0.5,0.0,,,,,,
Double-scroll,ESN,0.0002212886969273498,[0.99985577 0.99938324 0.99978465],40.0,0.7,0.85,0.5,0.05,,,,,,
Double-scroll,ESN,0.00031818232940347484,[0.9998475  0.99890519 0.99968055],40.0,0.7,0.85,0.5,0.1,,,,,,
Double-scroll,ESN,0.0002658232948359032,[0.99984367 0.99888853 0.99980078],40.0,0.7,0.85,0.5,0.15,,,,,,
Double-scroll,ESN,0.00023966296230434157,[0.99988803 0.99896234 0.99980212],40.0,0.7,0.85,0.5,0.2,,,,,,
Double-scroll,ESN,0.0009071035268999218,[0.99955359 0.9968814  0.99911373],40.0,0.7,0.85,1.0,0.0,,,,,,
Double-scroll,ESN,0.000877279405768018,[0.99956003 0.99743986 0.99907201],40.0,0.7,0.85,1.0,0.05,,,,,,
Double-scroll,ESN,0.0007104210903027922,[0.99959415 0.99761154 0.99934592],40.0,0.7,0.85,1.0,0.1,,,,,,
Double-scroll,ESN,0.0008131844902070718,[0.99960112 0.99757314 0.99913453],40.0,0.7,0.85,1.0,0.15,,,,,,
Double-scroll,ESN,0.000961190605435031,[0.99957022 0.99723379 0.99893166],40.0,0.7,0.85,1.0,0.2,,,,,,
Double-scroll,ESN,0.0018550630204594012,[0.99916588 0.99552925 0.99781853],40.0,0.7,0.85,1.5,0.0,,,,,,
Double-scroll,ESN,0.0024647969445441564,[0.99894036 0.99407762 0.99692749],40.0,0.7,0.85,1.5,0.05,,,,,,
Double-scroll,ESN,0.0021909319347898273,[0.99898835 0.99424458 0.99743672],40.0,0.7,0.85,1.5,0.1,,,,,,
Double-scroll,ESN,0.0026858392023523256,[0.9989905  0.9943611  0.99640102],40.0,0.7,0.85,1.5,0.15,,,,,,
Double-scroll,ESN,0.002441510969043225,[0.99909567 0.99517023 0.99670689],40.0,0.7,0.85,1.5,0.2,,,,,,
Double-scroll,ESN,0.00475159786755736,[0.9982732  0.99134861 0.99332528],40.0,0.7,0.85,2.0,0.0,,,,,,
Double-scroll,ESN,0.005560307363083388,[0.9980736  0.98986007 0.99191242],40.0,0.7,0.85,2.0,0.05,,,,,,
Double-scroll,ESN,0.0058761246923307855,[0.99785371 0.98825095 0.99178465],40.0,0.7,0.85,2.0,0.1,,,,,,
Double-scroll,ESN,0.005726929318661244,[0.99815242 0.98942773 0.99163955],40.0,0.7,0.85,2.0,0.15,,,,,,
Double-scroll,ESN,0.004794402360125806,[0.99852868 0.99216806 0.99278128],40.0,0.7,0.85,2.0,0.2,,,,,,
Double-scroll,ESN,0.008227225142705871,[0.99718327 0.98572364 0.9878883 ],40.0,0.7,0.85,2.5,0.0,,,,,,
Double-scroll,ESN,0.008709799637227645,[0.99713422 0.98552389 0.98689923],40.0,0.7,0.85,2.5,0.05,,,,,,
Double-scroll,ESN,0.009378979699262052,[0.99677799 0.98260436 0.98640612],40.0,0.7,0.85,2.5,0.1,,,,,,
Double-scroll,ESN,0.009308359289236796,[0.99701917 0.98392291 0.98609463],40.0,0.7,0.85,2.5,0.15,,,,,,
Double-scroll,ESN,0.008203947515495405,[0.99767678 0.98778203 0.98708832],40.0,0.7,0.85,2.5,0.2,,,,,,
Double-scroll,ESN,0.010980843950859274,[0.99639189 0.98133638 0.98358424],40.0,0.7,0.85,3.0,0.0,,,,,,
Double-scroll,ESN,0.011270085529684924,[0.99618626 0.98070419 0.98333106],40.0,0.7,0.85,3.0,0.05,,,,,,
Double-scroll,ESN,0.011551853996913287,[0.99579212 0.97744572 0.9837872 ],40.0,0.7,0.85,3.0,0.1,,,,,,
Double-scroll,ESN,0.011864289892365704,[0.99581858 0.97805512 0.98297472],40.0,0.7,0.85,3.0,0.15,,,,,,
Double-scroll,ESN,0.011697887786570691,[0.99640979 0.98100104 0.98218608],40.0,0.7,0.85,3.0,0.2,,,,,,
Double-scroll,ESN,0.013344217487200575,[0.99554965 0.97661088 0.98034376],40.0,0.7,0.85,3.5,0.0,,,,,,
Double-scroll,ESN,0.013312885526298704,[0.99521994 0.97552058 0.98100481],40.0,0.7,0.85,3.5,0.05,,,,,,
