taskType,label,accuracy,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
XOR,ESN,0.9333333333333333,0.5058860278228866,3.0,0.7,0.8,5.0,0.15,,,,,,
XOR,ESN,0.8333333333333334,0.7024710723167261,3.0,0.7,0.8,5.0,0.2,,,,,,
XOR,ESN,0.3,0.11302230361423586,3.0,0.7,0.85,0.1,0.0,,,,,,
XOR,ESN,0.4,0.0012416843193238352,3.0,0.7,0.85,0.1,0.05,,,,,,
XOR,ESN,0.6666666666666666,0.006193733832732678,3.0,0.7,0.85,0.1,0.1,,,,,,
XOR,ESN,0.6,0.04481831998087974,3.0,0.7,0.85,0.1,0.15,,,,,,
XOR,ESN,0.5,0.000967080057523729,3.0,0.7,0.85,0.1,0.2,,,,,,
XOR,ESN,0.4666666666666667,0.0042675223942960855,3.0,0.7,0.85,0.5,0.0,,,,,,
XOR,ESN,0.5333333333333333,0.0009656829121644331,3.0,0.7,0.85,0.5,0.05,,,,,,
XOR,ESN,0.6,0.06775509144171653,3.0,0.7,0.85,0.5,0.1,,,,,,
XOR,ESN,0.7666666666666667,0.3448883592345724,3.0,0.7,0.85,0.5,0.15,,,,,,
XOR,ESN,0.6333333333333333,0.09205212451872886,3.0,0.7,0.85,0.5,0.2,,,,,,
XOR,ESN,0.5666666666666667,0.14460840884618328,3.0,0.7,0.85,1.0,0.0,,,,,,
XOR,ESN,0.7,0.33674883035984954,3.0,0.7,0.85,1.0,0.05,,,,,,
XOR,ESN,0.8333333333333334,0.41639316300574225,3.0,0.7,0.85,1.0,0.1,,,,,,
XOR,ESN,0.6,0.18495043526644778,3.0,0.7,0.85,1.0,0.15,,,,,,
XOR,ESN,0.7666666666666667,0.29757311788077323,3.0,0.7,0.85,1.0,0.2,,,,,,
XOR,ESN,0.7,0.32952229204371897,3.0,0.7,0.85,1.5,0.0,,,,,,
XOR,ESN,0.8333333333333334,0.49251233813859363,3.0,0.7,0.85,1.5,0.05,,,,,,
XOR,ESN,0.8333333333333334,0.5204689152927342,3.0,0.7,0.85,1.5,0.1,,,,,,
XOR,ESN,0.8,0.43432477683866777,3.0,0.7,0.85,1.5,0.15,,,,,,
XOR,ESN,0.8666666666666667,0.5912939888921735,3.0,0.7,0.85,1.5,0.2,,,,,,
XOR,ESN,0.8333333333333334,0.4058539239733454,3.0,0.7,0.85,2.0,0.0,,,,,,
XOR,ESN,0.7666666666666667,0.23978947783968907,3.0,0.7,0.85,2.0,0.05,,,,,,
XOR,ESN,0.8666666666666667,0.3676076886990227,3.0,0.7,0.85,2.0,0.1,,,,,,
XOR,ESN,0.9,0.5647870111746376,3.0,0.7,0.85,2.0,0.15,,,,,,
XOR,ESN,0.9333333333333333,0.7690961589677657,3.0,0.7,0.85,2.0,0.2,,,,,,
XOR,ESN,0.6,0.2750428282355443,3.0,0.7,0.85,2.5,0.0,,,,,,
XOR,ESN,0.8333333333333334,0.30078360830028966,3.0,0.7,0.85,2.5,0.05,,,,,,
XOR,ESN,0.6,0.27344499528236843,3.0,0.7,0.85,2.5,0.1,,,,,,
XOR,ESN,0.9333333333333333,0.6530349696594989,3.0,0.7,0.85,2.5,0.15,,,,,,
XOR,ESN,0.9,0.7564955137532908,3.0,0.7,0.85,2.5,0.2,,,,,,
XOR,ESN,0.7,0.3076444315408149,3.0,0.7,0.85,3.0,0.0,,,,,,
XOR,ESN,0.8666666666666667,0.5087600932404218,3.0,0.7,0.85,3.0,0.05,,,,,,
XOR,ESN,0.7,0.24036807701190832,3.0,0.7,0.85,3.0,0.1,,,,,,
XOR,ESN,0.8666666666666667,0.5532724434286066,3.0,0.7,0.85,3.0,0.15,,,,,,
XOR,ESN,0.9666666666666667,0.7490925861640881,3.0,0.7,0.85,3.0,0.2,,,,,,
XOR,ESN,0.6666666666666666,0.4226283432250473,3.0,0.7,0.85,3.5,0.0,,,,,,
XOR,ESN,0.7,0.33532008460016816,3.0,0.7,0.85,3.5,0.05,,,,,,
XOR,ESN,0.8,0.34395193684085584,3.0,0.7,0.85,3.5,0.1,,,,,,
XOR,ESN,0.7333333333333333,0.530271246354849,3.0,0.7,0.85,3.5,0.15,,,,,,
XOR,ESN,0.9666666666666667,0.702803278230837,3.0,0.7,0.85,3.5,0.2,,,,,,
XOR,ESN,0.6666666666666666,0.36283419072802103,3.0,0.7,0.85,4.0,0.0,,,,,,
XOR,ESN,0.8333333333333334,0.3638297874096325,3.0,0.7,0.85,4.0,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.4538352994255034,3.0,0.7,0.85,4.0,0.1,,,,,,
XOR,ESN,0.8666666666666667,0.5056958534069236,3.0,0.7,0.85,4.0,0.15,,,,,,
XOR,ESN,0.9,0.726479111695341,3.0,0.7,0.85,4.0,0.2,,,,,,
XOR,ESN,0.7666666666666667,0.43880813705802224,3.0,0.7,0.85,4.5,0.0,,,,,,
XOR,ESN,0.8666666666666667,0.4280921618722264,3.0,0.7,0.85,4.5,0.05,,,,,,
XOR,ESN,0.9,0.4388651492250848,3.0,0.7,0.85,4.5,0.1,,,,,,
XOR,ESN,0.9,0.6180463974661168,3.0,0.7,0.85,4.5,0.15,,,,,,
XOR,ESN,0.9333333333333333,0.7146262019477514,3.0,0.7,0.85,4.5,0.2,,,,,,
XOR,ESN,0.9,0.46910039236399004,3.0,0.7,0.85,5.0,0.0,,,,,,
XOR,ESN,0.7333333333333333,0.43693021386491554,3.0,0.7,0.85,5.0,0.05,,,,,,
XOR,ESN,0.8333333333333334,0.5173016967040426,3.0,0.7,0.85,5.0,0.1,,,,,,
XOR,ESN,0.7,0.39221932239768986,3.0,0.7,0.85,5.0,0.15,,,,,,
XOR,ESN,0.9333333333333333,0.6855127481860598,3.0,0.7,0.85,5.0,0.2,,,,,,
