training_size,accuracy,hidden_neurons
10,1.0,3
10,0.8333333333333334,3
10,0.5,3
10,0.7333333333333333,3
10,0.8333333333333334,3
10,0.7333333333333333,3
10,0.9,3
10,0.16666666666666666,3
10,0.9666666666666667,3
10,0.3,3
10,0.5666666666666667,3
10,0.5,3
10,0.8,3
10,0.6333333333333333,3
10,0.43333333333333335,3
10,0.9333333333333333,3
10,0.6,3
10,0.4,3
10,0.5,3
10,0.5666666666666667,3
10,0.4,3
10,0.8666666666666667,3
10,0.6666666666666666,3
10,0.8666666666666667,3
10,0.5,3
20,0.8,3
20,0.8333333333333334,3
20,0.23333333333333334,3
20,0.7,3
20,0.7333333333333333,3
20,0.9666666666666667,3
20,0.8666666666666667,3
20,1.0,3
20,0.9,3
20,0.8,3
20,1.0,3
20,0.5333333333333333,3
20,0.7,3
20,0.7,3
20,0.6333333333333333,3
20,0.6333333333333333,3
20,0.4,3
20,0.4666666666666667,3
20,0.9,3
20,0.7666666666666667,3
20,0.5,3
20,0.6333333333333333,3
20,0.36666666666666664,3
20,0.5666666666666667,3
20,0.36666666666666664,3
30,0.8666666666666667,3
30,0.8333333333333334,3
30,0.4666666666666667,3
30,0.9666666666666667,3
30,0.8,3
30,0.9666666666666667,3
30,1.0,3
30,1.0,3
30,0.9666666666666667,3
30,0.7333333333333333,3
30,0.8,3
30,0.5666666666666667,3
30,0.7333333333333333,3
30,0.9333333333333333,3
30,0.5333333333333333,3
30,0.5666666666666667,3
30,0.4666666666666667,3
30,0.5,3
30,0.9,3
30,0.8,3
30,0.43333333333333335,3
30,0.8666666666666667,3
30,0.7666666666666667,3
30,0.6333333333333333,3
30,0.9,3
40,1.0,3
40,0.9333333333333333,3
40,0.6333333333333333,3
40,0.7333333333333333,3
40,0.8,3
40,0.9666666666666667,3
40,0.9333333333333333,3
40,1.0,3
40,0.9333333333333333,3
40,0.8,3
40,0.8333333333333334,3
40,0.6666666666666666,3
40,0.6,3
40,0.9333333333333333,3
40,0.7333333333333333,3
40,0.6,3
40,0.5666666666666667,3
40,0.5333333333333333,3
40,0.9333333333333333,3
40,0.8,3
40,0.6333333333333333,3
40,0.8333333333333334,3
40,0.7666666666666667,3
40,0.7333333333333333,3
40,0.8666666666666667,3
50,0.8666666666666667,3
50,0.8666666666666667,3
50,0.5333333333333333,3
50,0.7333333333333333,3
50,0.7333333333333333,3
50,0.9666666666666667,3
50,0.9666666666666667,3
50,1.0,3
50,0.9333333333333333,3
50,0.8666666666666667,3
50,0.8,3
50,0.8,3
50,0.6666666666666666,3
50,0.9666666666666667,3
50,0.7666666666666667,3
50,0.6333333333333333,3
50,0.7,3
50,0.5333333333333333,3
50,0.9333333333333333,3
50,0.7666666666666667,3
50,0.5,3
50,0.9,3
50,0.8,3
50,0.9333333333333333,3
50,0.8333333333333334,3
